sym,tf,rule,side,exit,n_oos,fit,sr,skew,kurt,pa,mk_oos_z2,dsr
XAUUSD,H4,n_lower_lows20_sft <= ema_89_sft|lower_wick_sft <= 0.1112,LONG,Ret_96,69,86.15,0.24083507195201592,-0.29095359652772285,3.3009543369636174,True,1.2,2.9362040782291873e-06
XAUUSD,H4,breakout_low10_sft <= 1.0|lower_wick_sft <= 0.1112,LONG,Ret_96,69,86.15,0.24083507195201592,-0.29095359652772285,3.3009543369636174,True,1.2,2.9362040782291873e-06
XAUUSD,H4,lower_wick_sft <= 0.1112|breakout_high50_sft >= 0.0|close_po,LONG,Ret_96,69,86.6,0.24083507195201592,-0.29095359652772285,3.3009543369636174,True,1.2,2.9362040782291873e-06
XAUUSD,H4,close_pos_sft <= 0.4963|breakout_high50_sft <= 0.0|range_atr,LONG,Ret_72,80,86.5,0.2166361559902552,-0.019803996579970843,3.851888474580365,True,27.9,7.729906030978311e-08
XAUUSD,H4,dist_swinglow10_sft >= 0.0223|n_higher_highs20_sft >= 13.0|n,SHORT,Ret_48,35,90.4,-0.23338481840352743,0.7398193214424122,2.7690568226942105,True,41.5,1.046937841121499e-08
XAUUSD,H4,dist_swinglow10_sft >= 0.0223|n_higher_highs20_sft >= 13.0|d,SHORT,Ret_48,35,90.3,-0.23338481840352743,0.7398193214424122,2.7690568226942105,True,41.5,1.046937841121499e-08
XAUUSD,H4,gap_up_sft >= 0.0|n_higher_highs20_sft >= 13.0|dist_swinglow,SHORT,Ret_48,35,91.3,-0.23338481840352743,0.7398193214424122,2.7690568226942105,True,41.5,1.046937841121499e-08
XAUUSD,H4,n_lower_lows20_sft >= 5.0|n_higher_highs20_sft >= 13.0|dist_,SHORT,Ret_48,33,94.4,-0.4055422806570191,0.473602503178128,2.33702410425528,True,16.7,2.8578107346157956e-10
XAUUSD,H4,n_lower_lows10_sft <= ema_55_sft|n_lower_lows20_sft >= 5.0|n,LONG,Ret_12,270,91.95,0.06518562688298556,-1.4125276478602073,10.108327004101247,True,39.6,3.0182690534772077e-32
XAUUSD,H4,body_ratio_sft <= ema_5_sft|n_lower_lows20_sft >= 5.0|n_lowe,LONG,Ret_12,270,91.30000000000001,0.06518562688298556,-1.4125276478602073,10.108327004101247,True,39.6,3.0182690534772077e-32
XAUUSD,H4,n_lower_lows10_sft >= 3.0|n_lower_lows20_sft >= 5.0|n_higher,LONG,Ret_12,270,89.65,0.06518562688298556,-1.4125276478602073,10.108327004101247,True,39.6,3.0182690534772077e-32
XAUUSD,H4,breakout_low50_sft <= ema_120_sft|n_lower_lows20_sft >= 5.0|,LONG,Ret_12,270,91.2,0.06518562688298556,-1.4125276478602073,10.108327004101247,True,39.6,3.0182690534772077e-32
XAUUSD,H4,gap_up_sft <= ema_13_sft|n_lower_lows20_sft >= 5.0|n_lower_l,LONG,Ret_12,270,90.15,0.06518562688298556,-1.4125276478602073,10.108327004101247,True,39.6,3.0182690534772077e-32
XAUUSD,H4,candle_dir_sft >= -1.0|n_lower_lows10_sft >= 3.0|n_lower_low,LONG,Ret_12,270,91.15,0.06518562688298556,-1.4125276478602073,10.108327004101247,True,39.6,3.0182690534772077e-32
XAUUSD,H4,n_lower_lows10_sft >= 3.0|n_lower_lows20_sft >= 5.0|n_consec,LONG,Ret_12,270,90.60000000000001,0.06518562688298556,-1.4125276478602073,10.108327004101247,True,39.6,3.0182690534772077e-32
