exit,fitness,n_valid,pf_is,pf_oos,mk_oos_z2
Ret_96,0.0,6,1.047060104414931,1.3914064508269153,15.5
Ret_96,13.5,6,1.0541668855582589,1.3926943565895282,52.5
Ret_96,0.0,6,1.0530895798291382,1.3991484443783957,36.199999999999996
Ret_96,0.0,6,1.065504740895801,1.3879951480173038,6.4
Ret_96,65.375,6,1.126078847881113,1.5550147440893167,81.6
Ret_72,63.5,6,1.1973502905547555,1.605064322651343,80.7
Ret_96,0.0,6,1.088889823245592,1.4478307494189475,78.0
Ret_72,32.375,6,1.0648618747786307,1.395772125911652,62.6
Ret_24,77.25,5,1.0987800875334972,1.150747341420522,55.50000000000001
Ret_96,56.75,6,1.1069944528740014,1.2732438011934506,12.3
Ret_96,31.625,6,1.1117525714025092,1.425155789589473,44.7
Ret_48,0.0,5,1.069639887989829,1.1560901773495074,33.800000000000004
Ret_96,13.875000000000002,6,1.0737084162148824,1.3588971918844095,16.2
Ret_96,0.0,6,1.1031431640165,1.3382417388405843,31.4
Ret_96,31.75,6,1.1004237337082086,1.351916812454621,20.0
Ret_96,9.875,6,1.0708398253160962,1.309990987724342,0.3
Ret_96,0.0,6,1.0530895798291382,1.3991484443783957,35.4
Ret_96,0.0,5,1.0917338141107236,1.339868312608799,31.7
Ret_96,0.0,6,1.0530895798291382,1.3991484443783957,32.7
Ret_72,64.5,6,1.1123887827925536,0.999472163291289,3.1
Ret_96,0.0,6,1.0530895798291382,1.3991484443783957,36.1
Ret_96,43.25,6,1.066754330677951,1.445459035420957,57.199999999999996
Ret_96,29.5,6,1.0794827056554248,1.7818169948752354,99.3
Ret_96,0.0,6,1.1033896079828747,1.299888595410014,13.3
Ret_96,0.0,6,1.0488132133483148,1.4556530502780307,78.60000000000001
Ret_96,25.625,6,1.0850324677987697,1.324432221967281,13.200000000000001
Ret_72,75.75,5,1.3899393649255418,1.5939459746256162,83.8
Ret_12,92.375,6,1.159758750143846,1.166837243500074,78.10000000000001
Ret_96,0.0,3,1.0653170468992905,1.372520211828558,5.0
Ret_96,27.500000000000004,6,1.052675336964458,1.462849057174477,67.10000000000001
Ret_96,37.375,6,1.157838974438008,1.3856370899371506,35.6
Ret_96,0.0,6,1.0530895798291382,1.3991484443783957,35.699999999999996
Ret_96,0.0,6,1.0530895798291382,1.4238756723993569,64.4
Ret_96,0.0,6,1.0530895798291382,1.3991484443783957,36.8
Ret_96,43.0,6,1.0814679552255093,1.389089866107091,29.799999999999997
Ret_72,35.25,6,1.0845749277158359,1.2927305773136486,29.2
Ret_96,0.0,6,1.086785751050343,1.278032265057972,12.1
Ret_96,39.625,6,1.0906180622935755,1.5969644471500197,85.39999999999999
Ret_96,30.375,6,1.089047505490801,1.3685506086587782,15.6
Ret_72,49.125,6,1.0519650491416377,1.2296979357783,19.1
Ret_96,73.75,6,1.113592512208417,1.3559901235320142,18.9
Ret_72,13.0,6,1.0774254588429866,1.385631847188587,59.199999999999996
Ret_96,72.5,6,1.1774339462051149,1.3503672334191854,14.000000000000002
Ret_96,30.5,6,1.089243563293466,1.4066837331796653,45.9
Ret_96,51.875,6,1.0935676440458493,1.8635032839489427,98.3
Ret_12,42.625,4,1.1501759703251975,1.0608613839274794,62.9
Ret_96,0.0,6,1.0791512937555547,1.403890809232561,35.099999999999994
Ret_96,22.0,6,1.077662000601713,1.445643960342844,66.0
Ret_96,0.0,6,1.1489637119764424,1.5551582147741607,77.3
Ret_96,0.0,6,1.0530895798291382,1.3991484443783957,34.599999999999994
Ret_96,0.0,6,1.0867380362922687,1.494591942031837,89.4
Ret_96,29.75,6,1.0640473304822455,1.2975119232823238,0.0
Ret_96,0.0,6,1.0530895798291382,1.3991484443783957,38.6
Ret_96,23.0,6,1.0619853821901324,1.3280369646536099,15.2
Ret_96,0.0,6,1.0530895798291382,1.3991484443783957,33.5
Ret_96,0.0,6,1.0530895798291382,1.3927168653029611,20.200000000000003
Ret_72,40.375,6,1.0584932972749157,1.307952387885782,11.5
Ret_72,61.625,6,1.0594402359792343,0.9182757520404299,0.0
Ret_96,0.25,6,1.0799968798228983,1.3224937680225062,7.000000000000001
Ret_96,0.0,6,1.0530895798291382,1.3991484443783957,31.4
Ret_96,0.0,6,1.0530895798291382,1.3991484443783957,37.3
Ret_96,39.75,6,1.087341085345114,1.3622286020745002,10.7
Ret_96,34.0,6,1.147236397361524,1.3416581982671583,29.7
Ret_96,68.0,6,1.1532175759793948,1.317370652200483,18.2
