sym,tf,best_fit,n_unique,n_oos_med,max_mk,pass90,n_top,binom_p,sr0,max_sr,best_dsr,dsr_sig,pct_pa
XAUUSD,H1,94.0,36291,206,97.5,4,20,0.133,0.3239,0.2794,0.306,0,100
XAUUSD,H4,94.4,27792,69,52.7,0,20,1.0,0.818,0.2408,0.0,0,100
