sym,vocab,n,activos,fit_p90,fit_max,top_mk,rho,pct_form_act,top_form,form_fit,old_fit,form_mk,old_mk
XAUUSD,VIEJA,1419,262,11.280000000000006,82.9,57.913999999999994,0.18194997080101336,0.0,0.0,,20.210114503816794,,54.15992366412214
XAUUSD,MIXTA,1449,284,12.545000000000005,84.25,57.45000000000001,0.14150404671710684,75.70422535211267,66.0,18.36313953488372,21.673188405797106,51.76697674418605,51.45217391304348
EURGBP,VIEJA,1414,354,15.380000000000008,89.3,59.57000000000001,0.055672912541081566,0.0,0.0,,20.709957627118644,,54.83248587570622
EURGBP,MIXTA,1454,409,15.677500000000004,82.25,45.536,0.021428481197860665,67.97066014669927,70.0,18.29523381294964,17.948091603053435,50.22230215827338,59.91145038167939
