exit,pf_is,pf_oos,mk_is,mk_oos
Ret_96,1.5376,1.4839,99.7,22.1
Ret_96,1.4173,1.2898,96.6,16.1
Ret_96,1.441,1.1115,99.7,0.8
Ret_72,1.4561,1.442,98.5,36.7
Ret_96,1.364,1.5685,98.9,25.7
Ret_96,1.5023,1.3506,98.5,18.6
Ret_96,1.5348,1.3415,99.5,19.2
Ret_96,1.3948,1.3335,98.1,14.799999999999999
Ret_96,1.3629,0.9076,94.0,0.6
Ret_72,1.4665,0.9546,98.5,6.3
Ret_72,1.3976,1.4143,98.9,28.799999999999997
Ret_72,1.3901,1.396,99.2,28.599999999999998
Ret_96,1.3637,1.6811,97.2,33.2
Ret_96,1.3884,1.2918,94.3,13.900000000000002
Ret_96,1.3794,1.6579,98.5,39.900000000000006
Ret_96,1.4141,1.6159,97.3,25.7
Ret_96,1.3773,1.6539,95.5,36.6
Ret_72,1.3723,1.2495,97.2,15.7
Ret_72,1.3693,1.2856,96.1,29.099999999999998
Ret_96,1.4505,1.1837,97.8,3.8
Ret_96,1.3766,1.3857,97.6,15.9
Ret_72,1.3722,1.1023,96.7,8.6
Ret_72,1.4024,1.423,99.1,31.7
Ret_96,1.5945,1.2814,99.6,14.799999999999999
Ret_96,1.4191,1.5272,98.3,22.5
Ret_72,1.4819,1.9754,99.7,54.300000000000004
Ret_96,1.3893,1.7791,97.7,45.1
Ret_96,1.4188,1.1864,97.8,7.5
Ret_96,1.5637,1.7068,99.6,44.9
Ret_96,1.3685,1.6397,100.0,23.7
Ret_72,1.4209,1.5946,98.2,46.800000000000004
Ret_96,1.3982,1.3969,95.6,13.600000000000001
Ret_72,1.3984,1.1329,97.39999999999999,8.3
Ret_72,1.4389,1.2868,99.2,15.7
Ret_96,1.3975,1.4057,96.1,26.700000000000003
Ret_96,1.3756,0.9452,95.5,0.7000000000000001
Ret_72,1.4636,1.6476,99.0,60.699999999999996
Ret_96,1.453,1.6913,99.0,42.0
Ret_96,1.4131,1.7242,99.9,36.5
Ret_96,1.4073,1.275,96.3,21.7
Ret_72,1.3628,2.1802,96.8,66.4
Ret_72,1.3951,1.542,97.39999999999999,37.9
Ret_96,1.5386,1.2189,99.6,6.1
Ret_96,1.3932,1.8175,97.3,36.4
Ret_96,1.479,1.3013,98.4,16.7
Ret_96,1.4602,1.2088,99.9,3.9
Ret_96,1.453,1.6913,99.0,42.0
Ret_72,1.38,1.7096,95.6,43.0
Ret_96,1.4216,1.6279,98.3,29.9
Ret_72,1.3779,1.1305,97.2,10.100000000000001
Ret_96,1.3657,1.1462,96.6,4.9
Ret_72,1.3729,1.3149,95.89999999999999,20.1
Ret_72,1.4049,1.4645,98.3,31.7
Ret_72,1.4163,1.3492,99.6,23.799999999999997
Ret_72,1.3904,1.4863,97.5,35.4
Ret_96,1.3781,1.2213,98.1,4.0
Ret_96,1.4142,1.6867,100.0,33.0
Ret_72,1.377,1.3668,99.0,26.200000000000003
Ret_96,1.3725,1.0517,96.7,3.1
Ret_96,1.5146,1.4779,99.1,23.0
Ret_72,1.3653,1.3917,98.4,27.800000000000004
Ret_72,1.431,1.4887,98.3,36.0
Ret_72,1.4127,1.3759,98.7,24.2
Ret_96,1.365,1.7504,99.8,26.400000000000002
Ret_72,1.4272,1.0559,99.5,3.4000000000000004
Ret_96,1.4541,1.6883,98.6,46.300000000000004
Ret_96,1.5071,1.2867,99.4,14.399999999999999
Ret_72,1.3897,1.3889,98.4,28.299999999999997
Ret_72,1.4449,1.1496,98.6,11.4
Ret_72,1.4332,1.1113,98.6,9.5
Ret_72,1.3768,1.822,98.9,55.60000000000001
Ret_96,1.4093,0.9792,98.5,0.8999999999999999
Ret_72,1.3636,1.218,100.0,4.9
Ret_96,1.4933,1.4474,98.6,20.1
Ret_96,1.3704,1.1381,98.5,1.7000000000000002
Ret_96,1.4031,1.3202,97.6,11.3
Ret_96,1.4358,1.4872,99.4,20.7
Ret_96,1.3653,1.2322,93.60000000000001,11.3
Ret_72,1.4272,1.0559,99.5,3.4000000000000004
Ret_72,1.5473,1.0504,100.0,4.5
Ret_72,1.4138,1.3886,99.4,28.199999999999996
Ret_96,1.4093,0.9792,98.5,0.8999999999999999
Ret_72,1.5188,1.245,100.0,11.700000000000001
Ret_96,1.3892,1.3405,98.7,11.5
Ret_96,1.3788,1.0729,99.7,1.7999999999999998
Ret_96,1.431,1.2536,99.0,9.6
