rule,side,exit,n_is,n_oos,pf_is,pf_oos
rsi_200_sft <= 55.043404|force_34_sft >= Close_sft|roc_200_sft >= -8.46,LONG,Ret_96,355,209,1.2644,1.4556
force_24_sft >= -3.57|mom_13_sft <= 3.15|roc_200_sft <= Close_sft,LONG,Ret_96,366,221,1.2538,1.4864
roc_48_sft <= 1.544718|mom_34_sft >= 6.31,LONG,Ret_96,320,221,1.2598,1.554
cmo_200_sft <= 10.086807|force_34_sft >= Close_sft,LONG,Ret_96,355,210,1.2644,1.4497
cmo_24_sft >= -2.46|mom_200_sft <= 43.857599|roc_89_sft >= 0.092346,LONG,Ret_96,288,148,1.3064,1.6427
mom_89_sft >= 1.65|cmo_8_sft >= 0.67,LONG,Ret_96,309,213,1.2638,1.5707
force_21_sft >= Close_sft|mom_5_sft >= -5.55|mom_89_sft >= 1.27,LONG,Ret_96,304,204,1.3,1.5388
roc_120_sft <= 2.482338|force_48_sft >= 4972.991211,LONG,Ret_96,344,204,1.2875,1.5554
mom_89_sft >= 1.27|rsi_55_sft <= 55.05838|roc_120_sft <= 1.28032,LONG,Ret_96,279,168,1.329,1.6191
force_120_sft >= -3.57|roc_55_sft >= -6.1|mom_120_sft <= 17.629001,LONG,Ret_96,284,136,1.4079,1.8299
mfi_21_sft >= 50.517838|force_34_sft >= -3.55,LONG,Ret_96,356,232,1.3119,1.5641
mom_24_sft <= 6.988|rsi_8_sft >= 61.997915|rsi_21_sft <= Close_sft,LONG,Ret_96,339,200,1.2624,1.5028
force_48_sft >= 4972.991211|cmo_8_sft >= -21.287083|mom_21_sft <= 6.417,LONG,Ret_96,344,199,1.3128,1.4052
cmo_24_sft >= 6.98|mom_5_sft >= -2.4205,LONG,Ret_96,347,219,1.2807,1.48
roc_89_sft >= 0.092346|force_13_sft >= 5.05,LONG,Ret_96,314,208,1.2525,1.5102
mom_120_sft <= 17.629001|force_120_sft >= Close_sft,LONG,Ret_96,284,136,1.407,1.8195
mfi_21_sft >= 60.614326|cmo_48_sft <= 20.35201|roc_120_sft >= 0.166461,LONG,Ret_72,297,191,1.3991,1.577
