rule,side,exit,n_is,n_oos,pf_is,pf_oos
roc_120_sft <= 2.482338|roc_55_sft >= 0.822681,LONG,Ret_72,280,186,1.2666,1.3085
force_144_sft >= Close_sft|mfi_24_sft >= 68.029807|rsi_120_sft >= 50.471382,LONG,Ret_48,270,185,1.3563,1.203
force_34_sft >= -2.63|rsi_21_sft >= -4.52|mfi_13_sft <= 38.218019,LONG,Ret_48,335,207,1.2522,1.1972
roc_5_sft >= 0.005459|force_24_sft >= -1.58|rsi_144_sft <= 53.266479,LONG,Ret_96,315,181,1.2631,1.1484
roc_24_sft >= 1.034501|mom_120_sft <= 34.8406|force_13_sft <= 3116180.5,LONG,Ret_72,201,106,1.2505,1.4908
force_21_sft >= 9212.429688|mom_200_sft <= 3.638,LONG,Ret_96,240,139,1.2799,1.1014
roc_34_sft >= 1.253321|mfi_13_sft >= 27.640554,LONG,Ret_48,241,221,1.2631,1.2599
rsi_13_sft >= 1.5|mom_34_sft >= 17.719999,LONG,Ret_48,230,318,1.3163,1.1932
roc_89_sft <= 1.086906|mfi_24_sft >= 68.029807,LONG,Ret_72,209,130,1.3932,1.1825
mfi_55_sft <= 56.83432|mfi_24_sft >= 68.029807,LONG,Ret_72,202,139,1.446,1.5862
mfi_34_sft >= 58.335773|rsi_144_sft <= Close_sft|cmo_89_sft <= 6.38,LONG,Ret_72,269,164,1.3095,1.1153
cmo_55_sft >= 8.49|mfi_24_sft >= 68.029807,LONG,Ret_72,220,151,1.3007,1.4301
mfi_48_sft >= 63.139385|rsi_8_sft <= Close_sft|rsi_13_sft >= 33.736496,LONG,Ret_48,229,173,1.4068,1.2537
force_120_sft >= Close_sft|mom_89_sft <= 3.07,LONG,Ret_96,222,112,1.2975,1.1995
roc_89_sft <= 0.11|force_13_sft <= Close_sft|mom_48_sft >= 0.569,LONG,Ret_96,211,131,1.2749,1.1747
roc_120_sft <= 1.28032|force_89_sft >= 628137.0625|force_55_sft >= 7923.229004,LONG,Ret_48,231,165,1.2815,1.5118
mfi_48_sft >= 57.227482|rsi_34_sft >= 56.319788,LONG,Ret_48,319,236,1.2574,1.1399
roc_21_sft <= 0.954321|mfi_48_sft >= 57.227482,LONG,Ret_72,314,220,1.2692,1.489
cmo_5_sft >= 54.602844|roc_5_sft >= 0.189689|mom_5_sft <= 8.22,LONG,Ret_96,301,133,1.424,1.2689
mom_144_sft <= 36.734401|cmo_8_sft >= 23.995831,LONG,Ret_96,342,187,1.2823,1.2696
cmo_21_sft >= -13.144417|cmo_5_sft >= 54.602844,LONG,Ret_96,335,217,1.2613,1.4684
rsi_5_sft >= 77.301424|roc_13_sft >= -0.307263|roc_55_sft <= 0.822681,LONG,Ret_96,291,175,1.2613,1.5975
roc_89_sft >= -0.891893|mom_55_sft <= 23.58|mfi_55_sft >= 56.83432,LONG,Ret_72,290,152,1.2745,1.5792
force_24_sft >= Close_sft|roc_89_sft <= 2.150699,LONG,Ret_96,371,232,1.2515,1.409
cmo_13_sft >= 35.82144|mom_89_sft <= 15.168,LONG,Ret_96,209,107,1.2743,1.1503
rsi_5_sft >= 77.301424|rsi_89_sft <= 54.02128,LONG,Ret_96,255,149,1.3193,1.3209
rsi_5_sft <= 36.209591|roc_34_sft >= 0.43,LONG,Ret_96,222,157,1.4272,1.707
mfi_55_sft >= -6.08|force_48_sft >= Close_sft|mom_89_sft <= 29.907,LONG,Ret_96,352,199,1.3004,1.4991
roc_144_sft <= 1.420344|cmo_34_sft >= -20.779138|mom_89_sft >= -5.17,LONG,Ret_96,316,176,1.2608,1.7413
rsi_8_sft >= 61.997915|force_120_sft >= -593327.0,LONG,Ret_96,339,218,1.2599,1.3839
force_24_sft >= 8057.183594|rsi_5_sft >= 36.209591|mfi_120_sft <= 55.01005,LONG,Ret_96,338,198,1.3402,1.4212
mom_34_sft >= 17.719999|roc_55_sft >= -1.483987,LONG,Ret_48,228,309,1.3204,1.2276
mfi_24_sft >= 68.029807|force_21_sft >= -7.74|force_24_sft >= 1.35,LONG,Ret_96,242,170,1.2623,1.3427
force_120_sft >= -593327.0|rsi_8_sft >= 61.997915,LONG,Ret_96,339,218,1.2599,1.3839
mom_120_sft <= 17.629001|rsi_89_sft >= 50.480328,LONG,Ret_96,273,146,1.2884,1.7522
mom_89_sft >= 1.27|force_24_sft >= 8.21,LONG,Ret_96,303,202,1.271,1.6888
cmo_24_sft >= 8.39|rsi_89_sft >= 46.818644|force_8_sft >= -7.39,LONG,Ret_96,332,215,1.2948,1.5515
cmo_34_sft <= 12.639574|mom_24_sft >= 6.988,LONG,Ret_96,259,208,1.3375,1.2582
mom_34_sft >= 17.719999|rsi_89_sft >= 5.84,LONG,Ret_48,230,318,1.3163,1.1932
mom_34_sft >= -1.68|force_34_sft >= 5934.621094,LONG,Ret_96,361,233,1.3062,1.5553
roc_55_sft >= 0.3|mfi_144_sft <= 57.973013,LONG,Ret_96,317,204,1.26,1.5679
force_8_sft >= 3517347.45|cmo_120_sft >= -5.393899|mfi_8_sft >= 50.787197,LONG,Ret_96,265,204,1.2657,1.3603
roc_48_sft <= -0.651132|mfi_48_sft >= 44.007746,LONG,Ret_48,302,188,1.286,1.1341
cmo_144_sft >= -4.860069|rsi_8_sft >= 61.997915|mom_21_sft <= Close_sft,LONG,Ret_96,328,228,1.3117,1.4547
rsi_24_sft >= 57.337118|force_89_sft >= -0.47|mfi_24_sft >= 68.029807,LONG,Ret_72,233,166,1.3865,1.4252
rsi_21_sft >= 57.763334|roc_34_sft <= 0.626954,LONG,Ret_96,271,168,1.3184,1.4207
force_24_sft >= 8057.183594|mom_89_sft >= 1.27,LONG,Ret_96,302,202,1.2622,1.6883
mfi_24_sft >= 68.029807|force_21_sft >= Close_sft,LONG,Ret_96,243,171,1.256,1.3366
mfi_13_sft <= 63.271347|roc_144_sft <= 2.706932|cmo_48_sft >= 0.78158,LONG,Ret_96,313,194,1.2839,1.6778
mfi_21_sft >= 69.26593|mom_144_sft >= -6.32,LONG,Ret_72,253,170,1.3108,1.7047
mfi_48_sft >= 44.007746|rsi_48_sft >= 41.254455|mfi_120_sft <= 50.774323,LONG,Ret_96,279,176,1.427,1.4118
rsi_55_sft <= 59.538796|mfi_21_sft >= 69.26593,LONG,Ret_96,232,150,1.2974,1.4112
cmo_144_sft <= 9.42|force_34_sft >= Close_sft,LONG,Ret_96,346,199,1.3137,1.3148
mfi_89_sft >= 50.597168|force_89_sft >= 1.19,LONG,Ret_96,282,186,1.2671,1.5904
force_120_sft >= -7.22|mom_55_sft <= 0.65|mfi_120_sft <= 55.01005,LONG,Ret_72,221,123,1.3239,1.3635
mom_144_sft <= 2.657|mfi_5_sft >= 30.978184,LONG,Ret_96,306,172,1.2627,1.343
rsi_24_sft >= 50.393036|roc_200_sft <= 0.267701,LONG,Ret_96,228,136,1.2966,1.1345
cmo_8_sft >= 23.995831|mom_34_sft >= 17.719999,LONG,Ret_48,216,287,1.2736,1.2233
roc_5_sft <= Close_sft|mom_34_sft >= 17.719999|mom_21_sft <= Close_sft,LONG,Ret_48,230,318,1.3163,1.1932
mfi_200_sft <= 46.982355|roc_5_sft >= 0.189689,LONG,Ret_48,221,134,1.2812,1.1363
roc_120_sft <= 2.482338|force_48_sft >= Close_sft,LONG,Ret_96,344,204,1.2877,1.5603
roc_144_sft >= -1.25|force_13_sft <= -3159099.6,LONG,Ret_96,217,167,1.2839,1.43
rsi_21_sft >= -4.85|mfi_24_sft >= 68.029807,LONG,Ret_96,244,173,1.2927,1.3375
rsi_144_sft >= -2.6|mfi_200_sft <= 50.639187|force_55_sft >= 7923.229004,LONG,Ret_96,207,118,1.2634,1.4984
force_5_sft >= 1261102.5|force_48_sft >= Close_sft|roc_8_sft >= 0.540557,LONG,Ret_96,274,200,1.2806,1.3433
mom_34_sft >= 6.62,LONG,Ret_96,324,232,1.3234,1.3596
roc_120_sft >= -1.008683|mfi_24_sft >= 68.029807|roc_48_sft <= 1.544718,LONG,Ret_72,242,154,1.2884,1.6832
rsi_55_sft >= 45.890608|mfi_48_sft >= 57.227482,LONG,Ret_72,323,232,1.2563,1.289
force_48_sft >= 1.41|roc_89_sft <= 2.150699,LONG,Ret_96,352,218,1.3346,1.5235
cmo_144_sft >= -4.860069|rsi_5_sft >= 77.301424,LONG,Ret_96,301,206,1.3134,1.5209
mom_8_sft <= -3.16|mfi_89_sft >= 50.597168,LONG,Ret_96,257,184,1.2652,1.4089
mom_21_sft >= -12.3684|roc_89_sft <= 0.092346|force_120_sft >= -9.26,LONG,Ret_96,205,112,1.2713,1.2716
rsi_21_sft >= -9.18|cmo_21_sft >= 9.43,LONG,Ret_96,344,219,1.2962,1.4551
rsi_120_sft >= -7.88|mfi_120_sft <= 50.774323|roc_24_sft >= -0.448428,LONG,Ret_96,288,177,1.2826,1.5137
force_21_sft >= 980778.65625|mom_8_sft <= 7.757,LONG,Ret_96,322,205,1.2576,1.2829
force_34_sft >= 5934.621094|roc_144_sft <= 2.706932|mfi_120_sft <= 50.774323,LONG,Ret_96,242,144,1.3208,1.6198
force_8_sft >= 3517347.45|roc_34_sft >= 0.035466,LONG,Ret_96,260,201,1.3153,1.481
mfi_120_sft <= 50.774323|mom_8_sft <= -3.16|force_120_sft <= 1342171.725,LONG,Ret_96,281,176,1.2755,1.5448
mom_55_sft <= 0.65|mom_34_sft >= 5.07|cmo_13_sft >= -16.753895,LONG,Ret_96,220,169,1.5298,1.5007
force_89_sft >= 7990.140625|roc_24_sft >= 1.034501,LONG,Ret_96,201,161,1.3039,1.362
mfi_8_sft <= Close_sft|mfi_21_sft >= 69.26593|force_24_sft <= 2605860.6,LONG,Ret_96,233,137,1.336,1.7899
force_24_sft >= Close_sft|rsi_120_sft <= 53.517298|roc_5_sft <= -0.174879,LONG,Ret_72,253,152,1.3669,1.1414
cmo_144_sft >= -4.860069|mom_144_sft <= 2.657|mfi_5_sft >= 50.859138,LONG,Ret_96,242,142,1.2792,1.284
rsi_5_sft >= 77.301424|mom_24_sft <= 6.988,LONG,Ret_96,273,141,1.3339,1.7056
cmo_13_sft <= 19.088308|mom_144_sft <= Close_sft|mfi_34_sft >= 58.335773,LONG,Ret_72,337,230,1.2846,1.3329
mfi_8_sft <= 66.559189|mfi_34_sft >= 58.335773|rsi_55_sft >= 50.420631,LONG,Ret_96,255,171,1.3839,1.6342
force_200_sft >= Close_sft|roc_120_sft <= 2.482338|force_55_sft <= 739821.46875,LONG,Ret_96,241,128,1.3592,1.4019
roc_55_sft <= Close_sft|mfi_24_sft >= 68.029807,LONG,Ret_96,244,173,1.2927,1.3375
mfi_120_sft <= 50.774323|cmo_89_sft >= -8.07,LONG,Ret_96,289,181,1.269,1.4551
mfi_24_sft >= 68.029807|rsi_13_sft >= 41.623053|roc_13_sft >= -3.95,LONG,Ret_96,244,172,1.2927,1.3373
cmo_8_sft >= 43.989711|mom_5_sft <= 5.89,LONG,Ret_96,248,126,1.3929,1.271
roc_200_sft <= Close_sft|cmo_120_sft <= -3.44|roc_5_sft >= 0.005459,LONG,Ret_96,200,114,1.259,1.2732
mfi_48_sft >= 63.139385|rsi_24_sft >= -4.33,LONG,Ret_48,229,173,1.4068,1.2537
cmo_5_sft >= 54.602844|mom_8_sft >= -3.16|force_55_sft >= -765378.0,LONG,Ret_96,321,209,1.4273,1.3305
mom_13_sft <= 0.59|force_34_sft >= 5934.621094,LONG,Ret_96,325,202,1.2724,1.4931
mfi_34_sft >= 58.335773|force_8_sft >= 13648.508789|rsi_13_sft >= 67.910724,LONG,Ret_96,215,154,1.3231,1.937
cmo_5_sft <= 7.3|roc_24_sft >= -0.949891|mfi_120_sft <= 50.774323,LONG,Ret_96,298,177,1.2512,1.5187
roc_5_sft <= -0.174879|force_55_sft >= 7.97,LONG,Ret_96,271,189,1.2849,1.4761
roc_13_sft <= 0.719682|mom_144_sft >= -0.75|roc_34_sft >= 0.626954,LONG,Ret_96,234,165,1.2795,1.3485
mfi_34_sft >= 58.335773|cmo_13_sft <= 5.43|rsi_48_sft <= 60.176003,LONG,Ret_96,226,160,1.3099,1.1822
roc_34_sft >= 1.253321|rsi_24_sft <= Close_sft,LONG,Ret_48,241,221,1.2631,1.2579
force_5_sft <= Close_sft|roc_120_sft <= Close_sft|force_48_sft >= Close_sft,LONG,Ret_96,316,201,1.3465,1.5739
cmo_24_sft >= -5.06|roc_200_sft <= 0.267701,LONG,Ret_96,251,148,1.2652,1.131
mom_48_sft <= 0.569|rsi_24_sft >= 50.393036|mfi_8_sft >= 66.559189,LONG,Ret_96,239,159,1.2557,1.2582
force_48_sft >= -2110439.75|mom_34_sft >= 17.719999,LONG,Ret_48,228,311,1.2923,1.3107
rsi_5_sft >= 65.274124|mfi_24_sft >= 68.029807|roc_24_sft >= -5.62,LONG,Ret_96,226,160,1.4191,1.5272
cmo_21_sft >= 15.52667|mfi_21_sft >= 69.26593,LONG,Ret_72,265,188,1.268,1.3817
force_89_sft >= -647329.84375|cmo_5_sft >= 54.602844,LONG,Ret_96,315,206,1.3022,1.3072
roc_48_sft >= 0.772961|mom_24_sft <= 14.8274,LONG,Ret_72,314,211,1.3036,1.7257
cmo_8_sft >= 43.989711|mom_8_sft >= -1.41|cmo_13_sft <= 35.82144,LONG,Ret_96,245,149,1.2847,1.4906
roc_13_sft <= -0.09|force_24_sft >= 7.97,LONG,Ret_96,291,192,1.2641,1.4361
mfi_24_sft >= 59.951464|roc_24_sft <= 1.034501|force_5_sft >= 3922685.65,LONG,Ret_48,262,194,1.2516,1.3404
roc_200_sft <= 0.267701|cmo_5_sft >= 1.056262|force_120_sft >= -593327.0,LONG,Ret_96,222,125,1.2976,1.3498
cmo_48_sft >= -8.815736|mom_144_sft <= -1.53,LONG,Ret_96,248,146,1.2869,1.2011
rsi_5_sft >= 77.301424|cmo_120_sft <= 13.012614,LONG,Ret_96,307,189,1.3043,1.562
roc_8_sft <= 2.91|roc_34_sft >= 1.253321,LONG,Ret_48,241,220,1.2631,1.3557
mfi_48_sft >= 63.139385|mfi_34_sft <= Close_sft,LONG,Ret_48,229,173,1.4068,1.2537
roc_8_sft >= 0.007914|mfi_24_sft >= 68.029807,LONG,Ret_96,241,167,1.3226,1.4054
mfi_48_sft >= 57.227482|rsi_5_sft >= -8.44|force_13_sft >= 3.8,LONG,Ret_72,318,227,1.2578,1.3229
mfi_48_sft >= 63.139385|mom_21_sft >= -5.6795,LONG,Ret_48,229,172,1.4032,1.2774
rsi_48_sft >= 45.592133|mfi_48_sft >= 63.139385|mfi_144_sft >= 46.419693,LONG,Ret_48,224,172,1.378,1.273
mom_55_sft >= 11.248|rsi_13_sft >= 50.449551|roc_120_sft <= 2.482338,LONG,Ret_72,262,209,1.3668,1.5666
cmo_8_sft >= 5.82|mfi_48_sft >= 63.139385,LONG,Ret_48,221,172,1.3899,1.2762
cmo_34_sft <= 3.12|force_89_sft >= 7990.140625|force_13_sft <= 1072989.0,LONG,Ret_96,208,117,1.2557,1.2498
cmo_89_sft <= Close_sft|mfi_13_sft >= 73.754567|mom_21_sft <= 6.417,LONG,Ret_72,264,144,1.2943,1.2774
mfi_144_sft >= 50.847649|roc_55_sft >= 0.047226|rsi_13_sft >= 59.544155,LONG,Ret_96,228,156,1.2513,2.1035
cmo_13_sft >= 19.088308|mom_200_sft <= 24.299999,LONG,Ret_96,276,138,1.275,1.464
rsi_8_sft >= 29.771312|mom_34_sft >= 6.15,LONG,Ret_96,327,233,1.2759,1.3526
cmo_8_sft >= 5.78|mfi_21_sft >= 60.614326|roc_8_sft >= 0.540557,LONG,Ret_96,243,182,1.2577,1.4028
mom_89_sft <= 15.168|rsi_24_sft >= 57.337118|rsi_34_sft <= 56.319788,LONG,Ret_72,204,118,1.4365,1.2902
mfi_8_sft >= -4.41|mom_34_sft >= 17.719999,LONG,Ret_48,230,318,1.3163,1.1932
mom_13_sft <= 10.2784|rsi_8_sft >= 71.994859,LONG,Ret_96,266,98,1.3223,1.6434
mom_144_sft <= -0.64|force_13_sft >= Close_sft,LONG,Ret_96,247,144,1.2592,1.1832
mfi_24_sft >= 68.029807|mom_89_sft <= 15.168,LONG,Ret_72,212,114,1.3515,1.1483
rsi_55_sft >= 55.05838|mom_8_sft <= 7.757,LONG,Ret_72,276,168,1.2513,1.462
roc_24_sft >= -0.949891|mom_34_sft >= 17.719999,LONG,Ret_48,229,317,1.3062,1.1929
roc_55_sft <= 0.047226|cmo_34_sft >= 4.0|cmo_13_sft <= Close_sft,LONG,Ret_96,224,151,1.4069,1.5811
mfi_24_sft >= 68.029807|force_89_sft >= Close_sft|force_200_sft >= -495097.75,LONG,Ret_72,249,170,1.3027,1.4354
roc_34_sft >= -0.541601|roc_34_sft >= 1.253321,LONG,Ret_48,241,221,1.2631,1.2579
mfi_120_sft <= 50.774323|roc_89_sft >= 0.092346,LONG,Ret_72,239,153,1.3768,1.822
mfi_120_sft <= 50.774323|cmo_144_sft >= -0.63,LONG,Ret_72,235,155,1.2868,1.7697
mom_144_sft <= 2.657|force_8_sft >= Close_sft|force_34_sft >= -882131.46875,LONG,Ret_96,266,143,1.2807,1.0257
mfi_48_sft >= 50.552082|force_5_sft <= 9.76|cmo_21_sft >= -4.02,LONG,Ret_96,304,202,1.2573,1.6654
cmo_24_sft >= 0.786075|roc_55_sft <= 1.667344|force_89_sft >= -1.1,LONG,Ret_96,318,202,1.2834,1.4758
mfi_24_sft >= 68.029807|force_144_sft >= 5.56,LONG,Ret_72,238,164,1.3559,1.4539
mfi_21_sft >= 69.26593|roc_34_sft <= 0.626954,LONG,Ret_72,206,134,1.3613,1.4478
force_48_sft >= 4972.991211|mom_200_sft <= 24.299999|force_21_sft >= 9212.429688,LONG,Ret_96,293,148,1.39,1.277
cmo_55_sft <= 10.116759|rsi_24_sft >= 57.337118|mom_89_sft >= -11.923,LONG,Ret_72,233,122,1.2579,1.5322
rsi_48_sft <= 55.387239|mfi_34_sft >= 58.335773,LONG,Ret_96,251,166,1.3449,1.0138
cmo_5_sft >= -3.7|mfi_48_sft >= 63.139385,LONG,Ret_48,221,173,1.454,1.234
roc_89_sft <= 1.086906|mfi_120_sft <= 50.774323,LONG,Ret_96,307,184,1.2661,1.5331
roc_21_sft <= 0.954321|force_48_sft >= Close_sft,LONG,Ret_96,361,228,1.2545,1.6962
rsi_200_sft >= 1.02|roc_34_sft >= 1.253321,LONG,Ret_48,241,221,1.2631,1.2579
cmo_24_sft >= -6.94|mom_34_sft >= 17.719999,LONG,Ret_48,228,314,1.3016,1.2585
rsi_34_sft <= Close_sft|mom_13_sft >= -4.19|mom_34_sft >= 17.719999,LONG,Ret_48,230,308,1.3166,1.3217
mfi_34_sft >= 58.335773|mom_8_sft <= 0.109,LONG,Ret_72,318,220,1.2852,1.1365
force_48_sft >= -9.24|mfi_48_sft >= 63.139385,LONG,Ret_48,224,171,1.416,1.2576
roc_48_sft >= -1.387169|mfi_24_sft >= 68.029807,LONG,Ret_72,283,199,1.2627,1.3387
force_48_sft >= 4972.991211|mfi_120_sft <= 55.01005,LONG,Ret_96,321,189,1.2659,1.5256
mfi_48_sft >= 63.139385|mfi_120_sft >= 46.115835,LONG,Ret_48,224,172,1.3913,1.2376
mfi_144_sft <= 54.681004|rsi_24_sft >= 57.337118|mfi_144_sft >= 43.121041,LONG,Ret_96,232,150,1.2506,1.5632
roc_48_sft <= Close_sft|mom_34_sft >= 6.08,LONG,Ret_96,329,233,1.2701,1.3526
force_120_sft >= 8.29|roc_144_sft <= 1.420344,LONG,Ret_96,271,147,1.2668,1.4455
roc_8_sft <= 0.007914|mfi_34_sft >= 58.335773,LONG,Ret_72,317,220,1.2987,1.1334
rsi_200_sft <= 55.043404|force_34_sft >= 1.26,LONG,Ret_96,355,210,1.2649,1.4497
force_120_sft >= -3.8|mfi_24_sft >= 68.029807,LONG,Ret_72,243,171,1.3387,1.4052
rsi_5_sft >= 77.301424|force_34_sft >= -882131.46875|force_21_sft >= -1.22,LONG,Ret_96,329,211,1.2784,1.3555
mom_34_sft >= 17.719999|force_34_sft >= 6.39,LONG,Ret_48,226,299,1.2737,1.2882
rsi_5_sft >= 77.301424|roc_48_sft <= 0.040634,LONG,Ret_96,217,132,1.391,1.5756
cmo_34_sft >= 0.714002|mom_13_sft <= 4.707,LONG,Ret_96,338,209,1.2591,1.3854
mfi_5_sft >= 30.978184|roc_34_sft >= 1.15|cmo_55_sft <= Close_sft,LONG,Ret_48,271,239,1.296,1.217
mfi_24_sft >= 68.029807|roc_24_sft >= 0.502807,LONG,Ret_96,230,166,1.2967,1.3746
cmo_21_sft >= 7.66|roc_89_sft <= 2.150699,LONG,Ret_96,341,213,1.2529,1.6583
cmo_5_sft <= Close_sft|force_48_sft >= Close_sft|roc_89_sft >= 0.092346,LONG,Ret_96,296,199,1.2909,1.7075
cmo_24_sft >= 7.2|roc_120_sft <= 2.482338,LONG,Ret_96,322,194,1.2756,1.5644
mfi_48_sft >= 50.552082|cmo_21_sft <= 29.435844|mom_48_sft <= 3.3,LONG,Ret_96,279,166,1.3182,1.0726
cmo_144_sft <= 6.94|force_24_sft >= -5.13|roc_144_sft <= 7.04,LONG,Ret_96,329,191,1.2902,1.1492
roc_5_sft >= -0.395822|mfi_24_sft >= 68.029807,LONG,Ret_96,244,173,1.2927,1.3584
force_89_sft >= 628137.0625|roc_55_sft <= 0.822681,LONG,Ret_72,212,151,1.3732,1.1657
mom_13_sft <= 4.707|mfi_24_sft >= 68.029807,LONG,Ret_72,205,121,1.3841,1.4779
mom_24_sft >= 0.409|mfi_48_sft >= 3.59|mom_200_sft <= -2.19,LONG,Ret_96,219,131,1.2919,1.4395
roc_34_sft >= 1.253321|mfi_34_sft >= -1.99,LONG,Ret_48,241,221,1.2631,1.2579
mfi_144_sft <= 54.681004|force_89_sft >= 9.19,LONG,Ret_96,288,167,1.2872,1.54
rsi_8_sft <= 61.997915|mfi_8_sft >= -7.18|mom_34_sft >= 5.66,LONG,Ret_96,314,228,1.3048,1.209
cmo_34_sft >= 12.639574|roc_34_sft <= 0.626954,LONG,Ret_96,219,137,1.2995,2.1088
force_89_sft >= 7990.140625|mom_89_sft <= 29.907,LONG,Ret_96,322,180,1.2912,1.5921
mom_8_sft <= 0.109|cmo_13_sft >= 19.088308,LONG,Ret_72,214,151,1.2885,1.668
force_24_sft <= -965932.75|mom_55_sft >= 1.35,LONG,Ret_96,199,158,1.3336,1.5133
rsi_5_sft >= 24.164919|mfi_24_sft >= 68.029807,LONG,Ret_96,244,173,1.2927,1.3147
roc_48_sft >= -2.15|rsi_5_sft >= 77.301424,LONG,Ret_96,333,216,1.2698,1.4243
force_34_sft >= Close_sft|roc_89_sft >= 0.092346,LONG,Ret_96,301,201,1.2807,1.658
mom_89_sft <= Close_sft|mfi_48_sft >= 63.139385|mom_5_sft >= -3.66,LONG,Ret_48,228,173,1.4212,1.2607
mfi_13_sft >= -9.26|mom_34_sft >= 17.719999,LONG,Ret_48,230,318,1.3163,1.1932
mom_144_sft <= 19.870001|force_21_sft <= 980778.65625|force_89_sft >= -4.93,LONG,Ret_72,296,134,1.3454,1.2284
mfi_24_sft >= 68.029807|mfi_55_sft >= 44.411974|roc_5_sft >= -0.174879,LONG,Ret_96,243,168,1.2711,1.4281
force_34_sft >= -2.14|cmo_200_sft <= 10.086807,LONG,Ret_96,355,210,1.2649,1.4497
cmo_89_sft <= 8.042563|force_89_sft >= 7990.140625,LONG,Ret_96,294,164,1.2664,1.4393
force_144_sft >= Close_sft|mom_144_sft <= 1.82,LONG,Ret_72,207,99,1.2569,1.2781
mom_144_sft <= 19.870001|mfi_55_sft >= 38.973816|mom_55_sft >= 11.248,LONG,Ret_72,223,153,1.3614,1.2856
cmo_200_sft <= 0.8|force_8_sft >= 1168048.875,LONG,Ret_96,219,127,1.2824,1.2662
mom_55_sft <= 2.93|force_89_sft >= 8.5,LONG,Ret_96,248,143,1.4378,1.0054
force_55_sft >= 8.99|mom_89_sft <= 29.907|rsi_34_sft >= 39.610432,LONG,Ret_96,347,194,1.2616,1.7104
cmo_8_sft >= 23.995831|roc_144_sft >= -2.09|mom_24_sft <= 7.91,LONG,Ret_96,322,185,1.2659,1.5321
mom_144_sft <= 8.09|mom_24_sft >= 6.988,LONG,Ret_96,213,133,1.4397,0.9412
mom_34_sft >= 6.39|rsi_8_sft >= 29.771312,LONG,Ret_96,326,232,1.3215,1.3527
mfi_200_sft >= 54.207512|cmo_144_sft >= 0.870716,LONG,Ret_72,205,161,1.3573,1.1015
roc_55_sft >= 0.822681|roc_144_sft <= 1.420344,LONG,Ret_72,232,143,1.2665,1.186
force_48_sft >= 2.72|mom_120_sft <= 34.8406,LONG,Ret_96,345,184,1.2625,1.4161
mom_34_sft >= -15.832|roc_34_sft >= 1.253321,LONG,Ret_48,241,221,1.2631,1.2579
mfi_48_sft >= 63.139385|rsi_21_sft <= Close_sft|cmo_55_sft >= -8.218787,LONG,Ret_48,229,173,1.4058,1.2537
roc_24_sft >= 1.034501|mfi_24_sft >= 68.029807,LONG,Ret_48,223,190,1.3133,1.1781
mom_89_sft >= 1.27|cmo_34_sft >= -20.779138|force_55_sft >= 5.56,LONG,Ret_96,296,201,1.2917,1.6453
roc_24_sft >= 0.502807|rsi_144_sft <= 53.266479,LONG,Ret_96,252,158,1.2806,1.1356
force_200_sft >= Close_sft|mom_55_sft <= 11.248,LONG,Ret_96,266,141,1.2914,1.4016
force_144_sft <= 532244.5|mfi_5_sft <= Close_sft|cmo_24_sft >= 14.674236,LONG,Ret_96,213,133,1.314,1.4507
roc_24_sft >= 1.034501|mfi_120_sft >= 42.367754,LONG,Ret_96,212,171,1.2806,1.4233
mfi_48_sft >= 44.007746|roc_34_sft >= 1.253321,LONG,Ret_48,239,220,1.2966,1.2295
mfi_48_sft >= 63.139385|force_48_sft >= Close_sft,LONG,Ret_48,224,171,1.416,1.2576
cmo_34_sft <= 0.53|force_48_sft >= Close_sft,LONG,Ret_96,210,120,1.2869,1.2167
mom_89_sft <= 15.168|roc_34_sft >= 0.626954|mfi_24_sft <= Close_sft,LONG,Ret_96,263,154,1.2856,1.1826
rsi_200_sft >= 45.619888|force_24_sft >= 8057.183594,LONG,Ret_96,373,243,1.2731,1.3535
rsi_8_sft >= -4.15|mfi_24_sft >= 68.029807|mfi_144_sft >= 46.419693,LONG,Ret_96,226,160,1.2502,1.5667
mfi_21_sft >= 69.26593|rsi_200_sft >= 50.349957|roc_24_sft <= 1.38,LONG,Ret_72,205,144,1.2558,1.352
mfi_48_sft >= 63.139385|mfi_48_sft >= 38.163783,LONG,Ret_48,229,173,1.4068,1.2537
mom_21_sft <= 13.6574|rsi_200_sft >= 45.619888|roc_34_sft >= 0.57,LONG,Ret_96,298,196,1.3355,1.3929
mfi_24_sft <= Close_sft|roc_34_sft >= 1.253321,LONG,Ret_48,241,221,1.2631,1.2579
roc_34_sft >= 1.253321|roc_24_sft <= 5.88,LONG,Ret_48,241,221,1.2694,1.2513
force_89_sft <= 1550081.0|mfi_34_sft >= 65.187675,LONG,Ret_72,203,135,1.38,1.7096
force_34_sft >= Close_sft|cmo_48_sft <= 0.78158|mom_24_sft <= 1.83,LONG,Ret_96,202,100,1.2611,0.9387
mfi_48_sft >= 63.139385|cmo_5_sft >= -51.670161|rsi_34_sft >= 39.610432,LONG,Ret_48,228,173,1.4049,1.2537
mom_120_sft >= 2.288|mfi_200_sft >= 54.207512,LONG,Ret_72,204,153,1.3325,1.1059
roc_55_sft <= 1.667344|roc_8_sft >= 0.251397|force_21_sft >= 980778.65625,LONG,Ret_96,311,208,1.295,1.185
roc_21_sft >= 0.954321|roc_5_sft >= 0.189689,LONG,Ret_96,215,175,1.3073,1.3531
