rule,mk,T,sr,skew,kurt,psr0,dsr
distmax20_cci_55_sft <= -68.9592|slope5_cci_48_sft >= -9.419,55.2,118,0.11123071047468067,-0.8135040929404643,7.206167129222927,0.8733014757647755,0.03121403554333088
distmax20_cci_55_sft <= -68.9592|slope5_natr_120_sft <= -0.0,45.9,117,0.09405235004079456,-0.6630002140750264,5.3664824556902895,0.8360518059716636,0.019401375825309077
distmax20_cci_55_sft <= -68.9592|slope5_natr_120_sft <= -0.0,38.3,122,0.07995456357538278,-0.9086967524245432,7.049647291943133,0.8010536613686838,0.01224605137306427
distmax20_cci_55_sft <= -68.9592|slope5_natr_120_sft <= -0.0,38.3,122,0.07995456357538278,-0.9086967524245432,7.049647291943133,0.8010536613686838,0.01224605137306427
stoch_5_sft >= 19.3291|slope5_natr_120_sft <= -0.0012|distma,36.6,117,0.07508211114836842,-0.9317761578643912,7.209806092071268,0.7818914854541745,0.012017556562740355
distmax100_cci_200_sft >= -269.5739|slope5_natr_120_sft <= -,34.3,116,0.07087727423893392,-0.9932106493186469,7.727062363204877,0.7678464897744501,0.011007931976587268
slope5_natr_120_sft <= -0.0012|slope3_cci_8_sft >= -33.7323|,35.5,119,0.07341085839344716,-0.9456768148787569,6.851394055838383,0.7788459540753689,0.010869082738578324
natr_13_sft >= 0.353|distmin100_natr_21_sft <= 0.1078|distmi,82.8,201,0.05515214943841714,-0.005292129650660452,4.286987862366456,0.781975632441136,0.00039740657904242365
distmin100_natr_55_sft >= 0.06|distmin100_natr_21_sft >= 0.1,92.7,145,0.007374508178743728,0.5158681007052829,6.2746086241490975,0.535323826096949,0.00030159324903902395
bbw_8_sft <= ema_34_sft|natr_13_sft >= 0.353|distmin100_natr,77.0,201,0.044824742671995405,0.051157231425790026,4.247867039510041,0.7370011630404341,0.00022703315902392933
efficiency_120_sft <= 0.223|slope5_cci_48_sft <= -0.0439|slo,2.5,124,-0.03328394926683732,0.015187508051938161,3.9856601510819676,0.35610441818417665,0.00015145118088273857
rsi_8_sft <= 50.4627|delta10_mom_200_sft <= -5.9155|distmin1,87.0,149,-0.010948035669387332,0.03160479663791463,4.540890056604763,0.447034013622968,0.00011078362902048923
tsrank20_adx_13_sft <= 1.0|slope5_cci_48_sft <= -0.0439|slop,1.9,130,-0.03515276627833844,-0.7755587100184261,6.95964776542187,0.3429473541818263,8.103223448095636e-05
slope5_natr_120_sft <= ema_21_sft|slope5_cci_48_sft <= -0.04,1.9,130,-0.03515276627833844,-0.7755587100184261,6.95964776542187,0.3429473541818263,8.103223448095636e-05
slope5_cci_48_sft <= -0.0439|slope5_natr_120_sft <= -0.0012|,1.9,130,-0.03515276627833844,-0.7755587100184261,6.95964776542187,0.3429473541818263,8.103223448095636e-05
slope5_natr_120_sft <= -0.0012|slope5_cci_48_sft <= -0.0439|,1.9,130,-0.03515276627833844,-0.7755587100184261,6.95964776542187,0.3429473541818263,8.103223448095636e-05
distmax100_adx_89_sft <= ema_8_sft|slope5_cci_48_sft <= -0.0,1.9,130,-0.03515276627833844,-0.7755587100184261,6.95964776542187,0.3429473541818263,8.103223448095636e-05
slope5_natr_120_sft <= -0.0012|slope5_cci_48_sft <= -0.0439|,1.9,130,-0.03694996875794128,-0.7377350356556568,6.944295498643155,0.3353937236544382,7.468365002241858e-05
mom_21_sft <= -12.3684|delta10_mom_200_sft <= -5.9155|tsrank,46.4,172,-0.15743959920916356,0.9283808233281452,7.22226077486821,0.029279556437875488,3.188966044795229e-08
natr_13_sft >= 0.353|distmax100_rsi_8_sft <= -19.3089|slope3,26.1,197,-0.06737987830336996,-3.224750820153314,31.234945717165864,0.14833291066505572,1.2241791591037736e-08
