mt5_entry,eng_bar,offset,dprice,gap_h,close_prev
2023-06-05 02:00:00,,,,,
2023-06-13 20:00:00,44786.0,1.0,0.17998535156243634,1.0,1944.8900146484375
2023-06-15 06:00:00,44818.0,1.0,0.28000488281259095,1.0,1935.1199951171875
2023-06-20 18:00:00,44897.0,1.0,0.14004394531252728,1.0,1934.8299560546875
2023-06-22 17:00:00,44942.0,1.0,0.12004394531254547,1.0,1922.0799560546875
2023-06-28 14:00:00,45031.0,1.0,0.14997558593745453,1.0,1906.9000244140625
2023-06-29 17:00:00,45057.0,1.0,0.13001953124989996,1.0,1899.47998046875
2023-07-06 02:00:00,45155.0,1.0,0.32997070312489996,1.0,1916.030029296875
2023-07-21 13:00:00,45419.0,1.0,0.22004394531245453,1.0,1963.8299560546875
2023-07-27 18:00:00,45516.0,1.0,0.27997558593756366,1.0,1944.4000244140625
2023-08-01 17:00:00,45584.0,1.0,0.2700097656249909,1.0,1947.739990234375
2023-08-02 19:00:00,45609.0,1.0,0.16003906249989086,1.0,1935.4599609375
2023-08-09 19:00:00,45724.0,1.0,0.1299951171874909,1.0,1916.6300048828125
2023-08-14 18:00:00,45792.0,1.0,0.0699462890625,1.0,1908.4300537109375
2023-08-16 23:00:00,45843.0,1.0,0.18998535156242724,1.0,1892.1400146484375
2023-08-25 19:00:00,46000.0,1.0,0.23004882812506366,1.0,1907.699951171875
2023-09-05 14:00:00,46153.0,2.0,0.47999511718739996,2.0,1930.6300048828125
2023-09-12 15:00:00,46270.0,1.0,0.1399951171874818,1.0,1912.8800048828125
2023-09-21 17:00:00,46433.0,1.0,0.1799414062500091,1.0,1916.31005859375
2023-09-26 07:00:00,46492.0,1.0,0.1700537109375091,1.0,1913.5699462890625
2023-09-27 09:00:00,46517.0,1.0,0.14000976562510914,1.0,1896.239990234375
2023-09-28 11:00:00,46542.0,1.0,0.14997558593745453,1.0,1875.6500244140625
2023-09-29 22:00:00,46576.0,1.0,0.10001464843753638,1.0,1848.8599853515625
2023-10-03 02:00:00,46602.0,1.0,0.17002929687510004,1.0,1827.969970703125
2023-10-24 15:00:00,46960.0,1.0,0.18994140625,1.0,1963.56005859375
2023-11-01 05:00:00,47088.0,2.0,0.12002929687491815,2.0,1979.469970703125
2023-11-07 06:00:00,47181.0,1.0,0.13998046875008185,1.0,1972.52001953125
2023-11-08 20:00:00,47218.0,1.0,0.17999511718744543,1.0,1953.6300048828125
