Entry,Side,Exit,PF,R2,Stag_Active,Trades,OER,UI,Health,Monkey,Monkey_OOS,XS_IS,XS_OOS
stoch_21_sft <= 8.52|cci_55_sft <= Close_sft,LONG,SINTETICA_REVERSE,2.937,0.8911,2216,278,1.4848,2.6221,1.1062,100.0,91.4,0.5829,0.6519
cci_34_sft <= Close_sft|stoch_21_sft <= 8.12|cci_21_sft <= 3.11,LONG,SINTETICA_REVERSE,2.552,0.8587,3382,292,1.8343,2.3463,1.1038,100.0,90.6,0.5712,0.6701
stoch_21_sft <= 46.167664|stoch_13_sft <= 8.58|stoch_13_sft >= -7.26,LONG,SINTETICA_REVERSE,2.046,0.8859,2218,313,2.0,1.9846,1.1027,100.0,90.4,0.5605,0.6615
willr_34_sft <= Close_sft|stoch_24_sft <= 7.7,LONG,SINTETICA_REVERSE,2.529,0.9159,1834,281,1.578,2.3215,1.0925,100.0,90.7,0.5727,0.6536
stoch_24_sft <= 7.86|willr_13_sft <= Close_sft,LONG,SINTETICA_REVERSE,2.51,0.9097,1834,285,1.6173,2.2818,1.0915,100.0,90.7,0.5657,0.648
stoch_5_sft <= 88.921791|stoch_55_sft <= 81.226753|stoch_34_sft <= 7.52,LONG,SINTETICA_REVERSE,4.546,0.9508,1471,235,1.2308,2.7218,1.0862,100.0,91.8,0.575,0.662
stoch_34_sft <= 9.58|stoch_13_sft <= 16.14263,LONG,SINTETICA_REVERSE,4.028,0.9501,1473,265,1.1694,2.8546,1.0858,100.0,91.4,0.5894,0.6644
stoch_24_sft <= 7.8,LONG,SINTETICA_REVERSE,2.514,0.9136,1834,282,1.5972,2.287,1.0858,100.0,90.7,0.5692,0.6501
stoch_24_sft <= 7.88,LONG,SINTETICA_REVERSE,2.535,0.9113,1834,283,1.5867,2.3037,1.0842,100.0,90.7,0.5679,0.6487
willr_55_sft <= 6.36|stoch_34_sft <= 8.0|stoch_8_sft <= 78.639908,LONG,SINTETICA_REVERSE,4.735,0.9502,1464,247,1.1845,2.8143,1.0841,100.0,90.0,0.5818,0.6551
stoch_24_sft <= 7.99,LONG,SINTETICA_REVERSE,2.565,0.9092,1834,285,1.5622,2.341,1.0833,100.0,90.7,0.5725,0.6487
