Entry,Side,Exit,PF,R2,Stag_Active,Trades,OER,UI,Health,Monkey,Monkey_OOS,XS_IS,XS_OOS
natr_21_sft <= 0.280609|natr_89_sft >= 0.338752,SHORT,Ret_12,3.662,0.8818,3417,92,1.8652,1.0071,0.4937,99.9,91.4,0.5464,0.5986
vol_z_24_sft >= 0.770447|natr_13_sft <= 0.361061,SHORT,SINTETICA_REVERSE,2.116,0.8124,2869,123,1.2505,0.7968,0.2527,99.7,91.4,0.5695,0.5506
bbw_34_sft >= 0.015336|vol_z_24_sft <= -1.416067|vol_z_34_sft >= -1.454888,SHORT,SINTETICA_REVERSE,2.697,0.8072,2893,186,1.3822,0.6355,0.2196,99.8,91.6,0.5487,0.5243
vol_z_21_sft <= -1.401495|vol_z_48_sft >= 0.14,SHORT,SINTETICA_REVERSE,1.936,0.8129,2619,104,1.2077,0.6098,0.1895,99.6,92.3,0.5368,0.4833
vol_z_8_sft <= -0.459537|vol_z_5_sft >= 0.573929,SHORT,SINTETICA_REVERSE,3.254,0.7651,3393,136,1.7692,0.4081,0.1653,99.6,97.5,0.5271,0.451
