Entry,Side,Exit,PF,R2,Stag_Active,Trades,OER,UI,Health,Monkey,Monkey_OOS,XS_IS,XS_OOS
roc_120_sft <= -3.47,LONG,SINTETICA_REVERSE,28.159,0.9909,1537,114,0.9503,5.0354,1.6431,100.0,93.8,0.7266,0.7638
roc_120_sft <= -3.32,LONG,SINTETICA_REVERSE,28.881,0.9894,1112,117,0.8344,5.4104,1.6399,100.0,92.5,0.7362,0.735
mom_120_sft <= -0.03868|mfi_5_sft >= Close_sft,LONG,SINTETICA_REVERSE,19.996,0.9864,1967,130,1.006,4.9515,1.6389,100.0,93.8,0.6977,0.732
mom_120_sft <= -0.03868,LONG,SINTETICA_REVERSE,26.235,0.9892,1469,115,0.9136,5.1767,1.6374,100.0,93.9,0.7464,0.7603
mom_34_sft <= Close_sft|mom_120_sft <= -0.03868,LONG,SINTETICA_REVERSE,26.235,0.9892,1469,115,0.9136,5.1767,1.6374,100.0,93.9,0.7464,0.7603
mfi_21_sft >= Close_sft|mom_120_sft <= -0.03868,LONG,SINTETICA_REVERSE,26.235,0.9892,1469,115,0.9136,5.1767,1.6374,100.0,93.9,0.7464,0.7603
mom_34_sft >= -4.9|mom_120_sft <= -0.03868,LONG,SINTETICA_REVERSE,26.235,0.9892,1469,115,0.9136,5.1767,1.6374,100.0,93.9,0.7464,0.7603
mom_120_sft <= -0.03868|mfi_144_sft >= Close_sft,LONG,SINTETICA_REVERSE,26.235,0.9892,1469,115,0.9136,5.1767,1.6374,100.0,93.9,0.7464,0.7603
mom_120_sft <= -0.03868|rsi_34_sft >= Close_sft,LONG,SINTETICA_REVERSE,26.235,0.9892,1469,115,0.9136,5.1767,1.6374,100.0,93.9,0.7464,0.7603
mom_120_sft <= -0.03868|mom_144_sft <= Close_sft,LONG,SINTETICA_REVERSE,26.235,0.9892,1469,115,0.9136,5.1767,1.6374,100.0,93.9,0.7464,0.7603
mom_120_sft <= -0.03868|rsi_89_sft >= Close_sft,LONG,SINTETICA_REVERSE,26.235,0.9892,1469,115,0.9136,5.1767,1.6374,100.0,93.9,0.7464,0.7603
mom_120_sft <= -0.03868|rsi_144_sft >= Close_sft,LONG,SINTETICA_REVERSE,26.235,0.9892,1469,115,0.9136,5.1767,1.6374,100.0,93.9,0.7464,0.7603
mom_5_sft <= Close_sft|mom_120_sft <= -0.03868,LONG,SINTETICA_REVERSE,26.235,0.9892,1469,115,0.9136,5.1767,1.6374,100.0,93.9,0.7464,0.7603
mom_55_sft <= 5.33|mom_120_sft <= -0.03868,LONG,SINTETICA_REVERSE,26.235,0.9892,1469,115,0.9136,5.1767,1.6374,100.0,93.9,0.7464,0.7603
roc_120_sft <= Close_sft|mom_120_sft <= -0.03868,LONG,SINTETICA_REVERSE,26.235,0.9892,1469,115,0.9136,5.1767,1.6374,100.0,93.9,0.7464,0.7603
mom_120_sft <= -0.03868|mom_13_sft <= Close_sft,LONG,SINTETICA_REVERSE,26.235,0.9892,1469,115,0.9136,5.1767,1.6374,100.0,93.9,0.7464,0.7603
rsi_24_sft >= -6.34|mom_120_sft <= -0.03868,LONG,SINTETICA_REVERSE,26.235,0.9892,1469,115,0.9136,5.1767,1.6374,100.0,93.9,0.7464,0.7603
mom_120_sft <= -0.03868|mfi_89_sft >= -2.08,LONG,SINTETICA_REVERSE,26.235,0.9892,1469,115,0.9136,5.1767,1.6374,100.0,93.9,0.7464,0.7603
rsi_89_sft >= -4.43|mom_120_sft <= -0.03868,LONG,SINTETICA_REVERSE,26.235,0.9892,1469,115,0.9136,5.1767,1.6374,100.0,93.9,0.7464,0.7603
mom_120_sft <= -0.03868|mom_21_sft >= -7.84,LONG,SINTETICA_REVERSE,26.235,0.9892,1469,115,0.9136,5.1767,1.6374,100.0,93.9,0.7464,0.7603
rsi_21_sft >= 5.39|mom_120_sft <= -0.03868,LONG,SINTETICA_REVERSE,26.235,0.9892,1469,115,0.9136,5.1767,1.6374,100.0,93.9,0.7464,0.7603
mom_120_sft <= -0.03868|rsi_13_sft >= 2.48,LONG,SINTETICA_REVERSE,26.235,0.9892,1469,115,0.9136,5.1767,1.6374,100.0,93.9,0.7464,0.7603
rsi_89_sft >= 6.62|mom_120_sft <= -0.03868,LONG,SINTETICA_REVERSE,26.235,0.9892,1469,115,0.9136,5.1767,1.6374,100.0,93.9,0.7464,0.7603
mom_120_sft <= 6.09|mom_120_sft <= -0.03868,LONG,SINTETICA_REVERSE,26.235,0.9892,1469,115,0.9136,5.1767,1.6374,100.0,93.9,0.7464,0.7603
mom_120_sft <= -0.03868|mom_55_sft >= -5.63,LONG,SINTETICA_REVERSE,26.235,0.9892,1469,115,0.9136,5.1767,1.6374,100.0,93.9,0.7464,0.7603
rsi_89_sft >= Close_sft|mom_120_sft <= -0.03868|mom_89_sft >= -0.78,LONG,SINTETICA_REVERSE,26.235,0.9892,1469,115,0.9136,5.1767,1.6374,100.0,93.9,0.7464,0.7603
mom_120_sft <= -0.03868|rsi_21_sft >= 0.93|mom_120_sft <= 0.03876,LONG,SINTETICA_REVERSE,26.235,0.9892,1469,115,0.9136,5.1767,1.6374,100.0,93.9,0.7464,0.7603
rsi_89_sft >= 3.14|mom_120_sft <= -0.03868,LONG,SINTETICA_REVERSE,26.235,0.9892,1469,115,0.9136,5.1767,1.6374,100.0,93.9,0.7464,0.7603
mom_120_sft <= -0.03868|rsi_200_sft >= 0.62,LONG,SINTETICA_REVERSE,26.235,0.9892,1469,115,0.9136,5.1767,1.6374,100.0,93.9,0.7464,0.7603
rsi_48_sft >= -4.59|mom_120_sft <= -0.03868,LONG,SINTETICA_REVERSE,26.235,0.9892,1469,115,0.9136,5.1767,1.6374,100.0,93.9,0.7464,0.7603
mfi_89_sft >= -9.35|mom_120_sft <= -0.03868,LONG,SINTETICA_REVERSE,26.235,0.9892,1469,115,0.9136,5.1767,1.6374,100.0,93.9,0.7464,0.7603
mfi_48_sft >= -9.28|mom_120_sft <= -0.03868,LONG,SINTETICA_REVERSE,26.235,0.9892,1469,115,0.9136,5.1767,1.6374,100.0,93.9,0.7464,0.7603
mfi_5_sft >= -1.59|mom_120_sft <= -0.03868,LONG,SINTETICA_REVERSE,26.235,0.9892,1469,115,0.9136,5.1767,1.6374,100.0,93.9,0.7464,0.7603
mom_120_sft <= -0.03868|roc_120_sft <= -0.067742,LONG,SINTETICA_REVERSE,26.235,0.9892,1469,115,0.9136,5.1767,1.6374,100.0,93.9,0.7464,0.7603
mom_120_sft <= -0.03868|mom_24_sft <= Close_sft,LONG,SINTETICA_REVERSE,26.235,0.9892,1469,115,0.9136,5.1767,1.6374,100.0,93.9,0.7464,0.7603
mfi_34_sft >= 8.82|mom_120_sft <= -0.03868,LONG,SINTETICA_REVERSE,26.235,0.9892,1469,115,0.9136,5.1767,1.6374,100.0,93.9,0.7464,0.7603
rsi_55_sft >= Close_sft|mom_120_sft <= -0.03868,LONG,SINTETICA_REVERSE,26.235,0.9892,1469,115,0.9136,5.1767,1.6374,100.0,93.9,0.7464,0.7603
rsi_48_sft >= 4.2|mom_120_sft <= -0.03868|mom_120_sft <= -0.03868,LONG,SINTETICA_REVERSE,26.235,0.9892,1469,115,0.9136,5.1767,1.6374,100.0,93.9,0.7464,0.7603
mom_120_sft <= -0.03868|rsi_21_sft >= Close_sft,LONG,SINTETICA_REVERSE,26.235,0.9892,1469,115,0.9136,5.1767,1.6374,100.0,93.9,0.7464,0.7603
rsi_120_sft >= -5.88|mom_120_sft <= -0.03868,LONG,SINTETICA_REVERSE,26.235,0.9892,1469,115,0.9136,5.1767,1.6374,100.0,93.9,0.7464,0.7603
