Entry,Side,Exit,PF,R2,Stag_Active,Trades,OER,UI,Health,Monkey,Monkey_OOS,XS_IS,XS_OOS
macdh_55_sft >= 0.000595|minus_di_48_sft <= 27.542814,SHORT,SINTETICA_REVERSE,48.041,0.9878,709,115,0.848,2.4168,0.7923,100.0,91.0,0.7128,0.6661
plus_di_89_sft >= 31.655409|linreg_144_sft >= 0.000162|minus_di_24_sft >= 19.062002,SHORT,SINTETICA_REVERSE,8.75,0.9835,1438,103,1.1918,1.9577,0.7869,100.0,92.4,0.6307,0.5772
trix_89_sft >= -0.000731|slope_34_sft >= 0.122054,SHORT,SINTETICA_REVERSE,14.865,0.9762,1560,112,1.0114,2.3152,0.786,100.0,90.1,0.6534,0.6636
efficiency_21_sft >= 0.139004|efficiency_144_sft >= 0.020109|linreg_144_sft >= 0.00033,SHORT,SINTETICA_REVERSE,5.144,0.9682,3291,92,2.0,1.3499,0.7801,100.0,93.6,0.5569,0.5737
plus_di_5_sft >= 5.21|linreg_34_sft >= 0.000552|efficiency_89_sft >= 0.078021,SHORT,SINTETICA_REVERSE,11.077,0.976,1372,131,0.8102,2.72,0.7693,100.0,90.9,0.658,0.5998
plus_di_8_sft >= 15.823349|linreg_144_sft >= 0.00033,SHORT,SINTETICA_REVERSE,12.253,0.9903,3382,81,1.1307,2.2221,0.7671,100.0,95.0,0.6589,0.667
aroon_144_sft >= -6.72|minus_di_55_sft <= 28.073263|efficiency_55_sft >= 0.147674,SHORT,SINTETICA_REVERSE,25.208,0.9647,630,104,0.7946,2.4908,0.766,100.0,90.4,0.6885,0.6654
slope_13_sft >= -0.619099|ema_55_sft >= ema_200_sft|trix_89_sft >= 0.014626,SHORT,Ret_12,3.742,0.8805,3449,76,2.0,1.4597,0.7627,100.0,92.2,0.5828,0.7101
linreg_8_sft >= 0.003406|aroon_120_sft >= ema_5_sft,SHORT,Ret_12,26.277,0.9872,921,91,0.71,2.8217,0.7599,100.0,94.0,0.84,0.8353
minus_di_55_sft <= 25.032581|adx_24_sft >= 14.900274|aroon_48_sft >= ema_8_sft,SHORT,SINTETICA_REVERSE,19.995,0.9604,671,107,0.9445,2.1406,0.7579,100.0,90.2,0.7158,0.6712
aroon_144_sft >= 61.111111|linreg_120_sft >= -3e-06,SHORT,Ret_12,3.096,0.9558,1793,90,1.7384,1.3732,0.7411,100.0,93.9,0.6635,0.6298
adx_21_sft >= 29.287378|slope_144_sft >= -0.001972,SHORT,SINTETICA_REVERSE,15.045,0.974,980,80,0.948,2.1743,0.7409,100.0,92.0,0.6667,0.6889
linreg_144_sft >= 0.00033|linreg_5_sft >= -3.8e-05,SHORT,Ret_12,6.162,0.9759,3112,78,1.1134,2.1604,0.7321,100.0,90.5,0.6422,0.6055
trix_89_sft >= 0.014626|ema_24_sft >= ema_200_sft,SHORT,Ret_12,3.267,0.85,3436,78,2.0,1.4493,0.7313,100.0,92.9,0.5672,0.6924
linreg_144_sft >= 0.00033|efficiency_5_sft >= 0.306613,SHORT,SINTETICA_REVERSE,5.307,0.9695,3396,152,1.2704,1.9439,0.7312,100.0,94.9,0.5776,0.4969
linreg_24_sft >= 0.000589|aroon_144_sft >= ema_8_sft,SHORT,SINTETICA_REVERSE,8.517,0.9757,730,114,0.9529,2.0325,0.7277,100.0,90.1,0.6705,0.7366
aroon_89_sft >= 8.95|linreg_55_sft >= 1.5e-05|minus_di_89_sft <= 27.283876,SHORT,SINTETICA_REVERSE,20.612,0.9741,1121,85,1.0614,1.9601,0.7262,100.0,90.7,0.7291,0.6376
efficiency_8_sft >= 0.095436|trix_89_sft >= 0.014626,SHORT,SINTETICA_REVERSE,3.44,0.915,3453,93,2.0,1.337,0.7258,99.9,92.9,0.5404,0.5954
