Entry,Side,Exit,PF,R2,Stag_Active,Trades,OER,UI,Health,Monkey,Monkey_OOS,XS_IS,XS_OOS
cmo_13_sft >= -47.813919|mom_120_sft >= 0.03876,SHORT,SINTETICA_REVERSE,41.319,0.9624,1715,130,1.1238,4.1071,1.4944,100.0,90.9,0.7224,0.7188
roc_24_sft >= -4.414252|mom_120_sft >= 0.03876,SHORT,SINTETICA_REVERSE,41.844,0.9618,1715,121,1.1491,4.0237,1.4935,100.0,90.2,0.7189,0.7234
mom_120_sft >= 0.03876|roc_5_sft <= 6.18,SHORT,SINTETICA_REVERSE,37.949,0.9609,1719,125,1.1746,3.9421,1.4911,100.0,90.2,0.7095,0.7034
rsi_34_sft >= Close_sft|mom_120_sft >= 0.03876|mom_24_sft >= -0.0516,SHORT,SINTETICA_REVERSE,28.197,0.9581,1715,121,1.1645,3.9833,1.4908,100.0,90.2,0.7168,0.7234
mom_120_sft >= 0.03876,SHORT,SINTETICA_REVERSE,40.338,0.9672,1715,125,1.1196,4.0888,1.49,100.0,90.2,0.7149,0.7034
mom_120_sft >= 0.03876|mom_144_sft >= -4.8,SHORT,SINTETICA_REVERSE,40.338,0.9672,1715,125,1.1196,4.0888,1.49,100.0,90.2,0.7149,0.7034
rsi_144_sft >= -5.23|mom_120_sft >= 0.03876,SHORT,SINTETICA_REVERSE,40.338,0.9672,1715,125,1.1196,4.0888,1.49,100.0,90.2,0.7149,0.7034
rsi_48_sft >= 9.14|mom_120_sft >= 0.03876,SHORT,SINTETICA_REVERSE,40.338,0.9672,1715,125,1.1196,4.0888,1.49,100.0,90.2,0.7149,0.7034
mom_8_sft >= -7.66|mom_120_sft >= 0.03876,SHORT,SINTETICA_REVERSE,40.338,0.9672,1715,125,1.1196,4.0888,1.49,100.0,90.2,0.7149,0.7034
rsi_13_sft >= -8.3|mfi_24_sft >= Close_sft|mom_120_sft >= 0.03876,SHORT,SINTETICA_REVERSE,40.338,0.9672,1715,125,1.1196,4.0888,1.49,100.0,90.2,0.7149,0.7034
mom_120_sft >= 0.03876|rsi_200_sft >= -0.1,SHORT,SINTETICA_REVERSE,40.338,0.9672,1715,125,1.1196,4.0888,1.49,100.0,90.2,0.7149,0.7034
mom_120_sft >= 0.03876|mfi_48_sft >= 0.55,SHORT,SINTETICA_REVERSE,40.338,0.9672,1715,125,1.1196,4.0888,1.49,100.0,90.2,0.7149,0.7034
rsi_144_sft >= Close_sft|mom_120_sft >= 0.03876,SHORT,SINTETICA_REVERSE,40.338,0.9672,1715,125,1.1196,4.0888,1.49,100.0,90.2,0.7149,0.7034
mom_120_sft >= 0.03876|mfi_21_sft >= -4.13,SHORT,SINTETICA_REVERSE,40.338,0.9672,1715,125,1.1196,4.0888,1.49,100.0,90.2,0.7149,0.7034
mom_120_sft >= 0.03876|mfi_89_sft >= -5.6,SHORT,SINTETICA_REVERSE,40.338,0.9672,1715,125,1.1196,4.0888,1.49,100.0,90.2,0.7149,0.7034
mom_200_sft <= 0.34|mom_120_sft >= 0.03876,SHORT,SINTETICA_REVERSE,40.338,0.9672,1715,125,1.1196,4.0888,1.49,100.0,90.2,0.7149,0.7034
mfi_48_sft >= Close_sft|mom_120_sft >= 0.03876,SHORT,SINTETICA_REVERSE,40.338,0.9672,1715,125,1.1196,4.0888,1.49,100.0,90.2,0.7149,0.7034
mom_120_sft >= 0.03876|mfi_5_sft >= -3.31,SHORT,SINTETICA_REVERSE,40.338,0.9672,1715,125,1.1196,4.0888,1.49,100.0,90.2,0.7149,0.7034
mom_5_sft >= -6.07|mom_120_sft >= 0.03876,SHORT,SINTETICA_REVERSE,40.338,0.9672,1715,125,1.1196,4.0888,1.49,100.0,90.2,0.7149,0.7034
mom_48_sft >= -7.26|mom_120_sft >= 0.03876|mfi_55_sft >= Close_sft,SHORT,SINTETICA_REVERSE,40.338,0.9672,1715,125,1.1196,4.0888,1.49,100.0,90.2,0.7149,0.7034
