Entry,Side,Exit,PF,R2,Stag_Active,Trades,OER,UI,Health,Monkey,Monkey_OOS,XS_IS,XS_OOS
roc_120_sft <= -3.342182|force_34_sft >= -45.06115,LONG,SINTETICA_REVERSE,14.584,0.9905,1467,116,0.9155,4.1837,1.3278,100.0,95.5,0.6773,0.7194
aroon_144_sft <= -52.083332|trix_34_sft <= -0.001383,LONG,Ret_12,7.319,0.9875,1498,77,1.2964,2.6508,1.1501,100.0,92.4,0.732,0.7987
plus_di_8_sft >= 15.823349|linreg_144_sft >= 0.00033,SHORT,SINTETICA_REVERSE,12.253,0.9903,3382,81,1.1307,2.2221,0.7671,100.0,95.0,0.6589,0.667
stoch_8_sft >= 46.887909|cci_5_sft >= 126.459312,SHORT,SINTETICA_REVERSE,1.937,0.9317,1263,595,1.0472,1.0063,0.3464,100.0,92.8,0.4978,0.5309
vol_z_21_sft >= Close_sft|natr_89_sft >= 0.489378,LONG,SINTETICA_REVERSE,2.247,0.8337,3517,127,2.0,0.8314,0.4103,99.6,96.1,0.5448,0.5385
minus_di_55_sft <= 35.240829|slope_48_sft >= 0.101706|linreg_144_sft >= -2e-06,SHORT,SINTETICA_REVERSE,38.844,0.9902,673,108,1.063,2.6149,1.0624,100.0,92.2,0.6995,0.7143
roc_120_sft >= 4.16,SHORT,SINTETICA_REVERSE,43.003,0.9833,1710,98,1.2799,3.8301,1.6063,100.0,92.0,0.7638,0.7657
natr_21_sft >= 0.378429|vol_z_200_sft <= -0.281068|natr_34_sft >= 0.251013,LONG,SINTETICA_REVERSE,2.541,0.9654,2073,128,1.9372,1.2983,0.7694,100.0,98.9,0.5419,0.64
willr_200_sft >= -51.135506|willr_120_sft <= -0.37|stoch_89_sft <= 49.695614,SHORT,SINTETICA_REVERSE,4.582,0.9629,2852,164,1.5305,1.6797,0.763,100.0,91.4,0.5726,0.6271
stoch_48_sft >= 8.51|willr_144_sft <= -91.178513,LONG,Ret_12,22.53,0.9619,1507,79,1.5596,2.5162,1.2627,100.0,91.9,0.7343,0.806
rsi_200_sft >= -8.75|mfi_144_sft >= 41.958717|roc_120_sft <= -3.342182,LONG,SINTETICA_REVERSE,31.587,0.9901,1465,110,0.7979,4.9219,1.3809,100.0,93.8,0.7366,0.6987
mom_120_sft >= 0.03876|mfi_13_sft <= 61.757072,SHORT,SINTETICA_REVERSE,16.434,0.9871,1708,119,1.1661,2.7928,1.0789,100.0,93.8,0.6623,0.6497
stoch_5_sft <= 23.676014|hour_sft >= 16.0,LONG,SINTETICA_REVERSE,1.925,0.9443,1552,451,0.3953,1.4425,0.2113,100.0,92.7,0.5575,0.5663
efficiency_8_sft >= 0.874644|linreg_120_sft >= 0.000244|ema_55_sft >= ema_144_sft,SHORT,Ret_12,11.032,0.9901,1856,82,0.8202,2.0789,0.5791,100.0,93.3,0.7141,0.7021
adx_120_sft <= 7.001294|ema_5_sft <= ema_13_sft|aroon_144_sft <= -13.194445,LONG,SINTETICA_REVERSE,9.15,0.9899,1255,176,1.2765,2.6227,1.1521,100.0,93.3,0.6694,0.684
linreg_120_sft >= 0.000495|aroon_21_sft <= 52.380951,SHORT,Ret_12,20.19,0.9898,3272,83,0.5953,2.5952,0.508,100.0,90.9,0.7009,0.5514
mfi_24_sft >= 49.206398|roc_48_sft >= 1.800875|mom_120_sft >= 0.01816,SHORT,Ret_12,11.223,0.9896,856,117,1.4095,2.8008,1.4243,100.0,91.0,0.695,0.692
mfi_24_sft >= 39.583233|mom_144_sft <= -0.0017|roc_120_sft >= 1.618074,SHORT,Ret_12,13.327,0.9893,480,86,1.1664,2.5966,1.2092,100.0,92.4,0.7833,0.7268
roc_8_sft <= 2.251098|mom_120_sft >= 0.03876|force_55_sft >= 2.38,SHORT,Ret_12,13.95,0.9885,1712,83,1.2817,2.7729,1.1704,100.0,91.9,0.7253,0.737
linreg_34_sft >= 0.000552|minus_di_55_sft <= 28.073263,SHORT,SINTETICA_REVERSE,38.112,0.9883,783,104,0.6661,2.5427,0.6639,100.0,91.3,0.7226,0.6226
plus_di_5_sft >= 8.63|linreg_144_sft >= 0.00033,SHORT,SINTETICA_REVERSE,12.934,0.9883,3138,85,1.1361,2.363,0.8252,100.0,93.9,0.6738,0.6231
natr_55_sft >= 0.400427|vol_z_200_sft <= -0.281068,LONG,SINTETICA_REVERSE,3.506,0.9744,3566,108,1.3114,1.3504,0.5227,100.0,94.6,0.5725,0.7017
stoch_200_sft >= 5.16|stoch_89_sft <= 49.695614|cci_200_sft >= Close_sft,SHORT,SINTETICA_REVERSE,3.875,0.9468,2109,158,1.318,1.2031,0.4856,100.0,93.9,0.572,0.6252
linreg_24_sft <= ema_55_sft|linreg_144_sft >= 0.00033|efficiency_8_sft <= 0.874644,SHORT,SINTETICA_REVERSE,8.183,0.9882,3113,78,1.6235,2.3494,1.145,100.0,91.6,0.663,0.6558
stoch_144_sft >= 76.015617|cci_200_sft >= 108.378761|willr_48_sft <= Close_sft,SHORT,SINTETICA_REVERSE,33.857,0.985,783,99,0.8517,2.6518,0.8575,100.0,91.4,0.7791,0.699
vol_z_200_sft <= -0.281068|natr_34_sft >= 0.392421|vol_z_144_sft <= 3.92,LONG,Ret_24,2.584,0.9546,3547,87,2.0,1.7472,0.9863,100.0,94.2,0.5739,0.8077
bbw_34_sft >= 0.015336|vol_z_24_sft <= -1.416067|vol_z_34_sft >= -1.454888,SHORT,SINTETICA_REVERSE,2.697,0.8072,2893,186,1.3822,0.6355,0.2196,99.8,91.6,0.5487,0.5243
force_5_sft >= -36.815929|roc_120_sft >= 3.482884|rsi_144_sft >= Close_sft,SHORT,SINTETICA_REVERSE,13.907,0.988,1699,173,1.3609,3.6156,1.6143,100.0,91.6,0.6548,0.6899
