Entry,Side,Exit,PF,R2,Stag_Active,Trades,OER,UI,Health,Monkey,Monkey_OOS,XS_IS,XS_OOS
minus_di_13_sft >= 26.653507|minus_di_89_sft >= 37.040524,LONG,SINTETICA_REVERSE,23.599,0.9552,1321,95,2.0,2.7356,1.7564,100.0,93.2,0.6637,0.8584
minus_di_120_sft >= 28.328575|minus_di_55_sft >= 39.365353,LONG,SINTETICA_REVERSE,23.375,0.9621,1676,105,2.0,2.8019,1.7543,100.0,92.9,0.6683,0.8413
minus_di_55_sft >= 39.365353,LONG,SINTETICA_REVERSE,23.375,0.9621,1676,105,2.0,2.8019,1.7543,100.0,92.9,0.6683,0.8413
minus_di_55_sft >= 39.365353|macdh_144_sft <= ema_34_sft,LONG,SINTETICA_REVERSE,23.375,0.9621,1676,105,2.0,2.8019,1.7543,100.0,92.9,0.6683,0.8413
linreg_144_sft <= Close_sft|minus_di_55_sft >= 39.365353,LONG,SINTETICA_REVERSE,23.375,0.9621,1676,105,2.0,2.8019,1.7543,100.0,92.9,0.6683,0.8413
linreg_5_sft <= ema_8_sft|minus_di_55_sft >= 39.365353,LONG,SINTETICA_REVERSE,23.375,0.9621,1676,105,2.0,2.8019,1.7543,100.0,92.9,0.6683,0.8413
macdh_8_sft >= -6.5|minus_di_55_sft >= 39.365353|minus_di_48_sft >= 24.211508,LONG,SINTETICA_REVERSE,23.375,0.9621,1676,105,2.0,2.8019,1.7543,100.0,92.9,0.6683,0.8413
minus_di_55_sft >= 39.365353|trix_13_sft <= 0.53,LONG,SINTETICA_REVERSE,23.375,0.9621,1676,105,2.0,2.8019,1.7543,100.0,92.9,0.6683,0.8413
minus_di_55_sft >= 39.365353|adx_55_sft >= -4.62,LONG,SINTETICA_REVERSE,23.375,0.9621,1676,105,2.0,2.8019,1.7543,100.0,92.9,0.6683,0.8413
adx_24_sft >= 9.6|minus_di_55_sft >= 39.365353,LONG,SINTETICA_REVERSE,23.375,0.9621,1676,105,2.0,2.8019,1.7543,100.0,92.9,0.6683,0.8413
minus_di_55_sft >= 39.365353|plus_di_13_sft >= ema_5_sft|plus_di_55_sft >= 5.86,LONG,SINTETICA_REVERSE,23.375,0.9621,1676,105,2.0,2.8019,1.7543,100.0,92.9,0.6683,0.8413
macdh_120_sft <= ema_48_sft|minus_di_55_sft >= 39.365353,LONG,SINTETICA_REVERSE,23.375,0.9621,1676,105,2.0,2.8019,1.7543,100.0,92.9,0.6683,0.8413
plus_di_8_sft >= -4.16|minus_di_55_sft >= 39.365353,LONG,SINTETICA_REVERSE,23.375,0.9621,1676,105,2.0,2.8019,1.7543,100.0,92.9,0.6683,0.8413
efficiency_120_sft <= ema_5_sft|minus_di_55_sft >= 39.365353,LONG,SINTETICA_REVERSE,23.375,0.9621,1676,105,2.0,2.8019,1.7543,100.0,92.9,0.6683,0.8413
efficiency_24_sft <= ema_144_sft|minus_di_55_sft >= 39.365353,LONG,SINTETICA_REVERSE,23.375,0.9621,1676,105,2.0,2.8019,1.7543,100.0,92.9,0.6683,0.8413
minus_di_55_sft >= 39.365353|ema_48_sft >= -7.76,LONG,SINTETICA_REVERSE,23.375,0.9621,1676,105,2.0,2.8019,1.7543,100.0,92.9,0.6683,0.8413
minus_di_55_sft >= 39.365353|slope_34_sft <= 2.14,LONG,SINTETICA_REVERSE,23.375,0.9621,1676,105,2.0,2.8019,1.7543,100.0,92.9,0.6683,0.8413
