Entry,Side,Exit,PF,R2,Stag_Active,Trades,OER,UI,Health,Monkey,Monkey_OOS,XS_IS,XS_OOS
cmo_89_sft <= -4.980199|roc_55_sft <= -2.52,LONG,SINTETICA_REVERSE,2.869,0.8777,1134,166,2.0,0.9098,0.5483,100.0,91.6,0.5612,0.6636
roc_55_sft <= -2.788638|mom_120_sft <= -1.62,LONG,SINTETICA_REVERSE,3.134,0.6312,1216,148,1.7143,1.1449,0.4245,100.0,92.2,0.5629,0.7058
mom_120_sft <= 5.35|roc_55_sft <= -2.788638,LONG,SINTETICA_REVERSE,3.133,0.6402,1216,151,1.6173,1.152,0.4101,100.0,91.6,0.5697,0.6762
mom_200_sft <= Close_sft|mom_120_sft <= 6.42|roc_55_sft <= -2.788638,LONG,SINTETICA_REVERSE,3.022,0.623,1216,153,1.534,1.1313,0.3729,100.0,91.5,0.5638,0.6752
roc_55_sft <= -2.788638|roc_120_sft <= 0.330563,LONG,SINTETICA_REVERSE,3.022,0.6263,1216,152,1.372,1.1096,0.3313,100.0,90.3,0.5632,0.6328
mom_144_sft <= 53.02|roc_55_sft <= -2.77,LONG,SINTETICA_REVERSE,3.118,0.626,1216,161,1.2673,1.133,0.314,100.0,90.2,0.5685,0.6336
roc_55_sft <= -2.788638|cmo_144_sft <= 1.554379,LONG,SINTETICA_REVERSE,3.036,0.5742,1216,148,1.3127,1.0644,0.2795,100.0,90.9,0.5551,0.68
roc_55_sft <= -2.788638|cmo_120_sft <= 14.220675|rsi_144_sft <= 50.777191,LONG,SINTETICA_REVERSE,3.036,0.5742,1216,148,1.3127,1.0644,0.2795,100.0,90.9,0.5551,0.68
cmo_5_sft <= Close_sft|roc_55_sft <= -2.788638|cmo_120_sft <= 1.76,LONG,SINTETICA_REVERSE,2.956,0.5926,1216,153,1.1482,1.0574,0.2532,100.0,91.0,0.5525,0.6414
