Entry,Side,Exit,PF,R2,Stag_Active,Trades,OER,UI,Health,Monkey,Monkey_OOS,XS_IS,XS_OOS
adx_200_sft >= 6.826711|plus_di_48_sft <= 18.30854,LONG,SINTETICA_REVERSE,2.506,0.9687,1116,275,1.3597,1.137,0.5269,100.0,92.1,0.5358,0.5705
cmo_89_sft <= -4.980199|roc_55_sft <= -2.52,LONG,SINTETICA_REVERSE,2.869,0.8777,1134,166,2.0,0.9098,0.5483,100.0,91.6,0.5612,0.6636
plus_di_55_sft <= 18.487869|macdh_48_sft <= -0.666817|adx_200_sft >= 6.826711,LONG,SINTETICA_REVERSE,4.779,0.8931,1116,127,1.2097,0.8123,0.3113,100.0,94.5,0.5703,0.6503
roc_55_sft <= -2.788638|mom_120_sft <= -1.62,LONG,SINTETICA_REVERSE,3.134,0.6312,1216,148,1.7143,1.1449,0.4245,100.0,92.2,0.5629,0.7058
adx_200_sft >= 6.826711|plus_di_48_sft <= 18.30854,LONG,SINTETICA_REVERSE,2.506,0.9687,1116,275,1.3597,1.137,0.5269,100.0,92.1,0.5358,0.5705
cmo_89_sft <= -4.980199|roc_55_sft <= -2.52,LONG,SINTETICA_REVERSE,2.869,0.8777,1134,166,2.0,0.9098,0.5483,100.0,91.6,0.5612,0.6636
mom_120_sft <= 5.35|roc_55_sft <= -2.788638,LONG,SINTETICA_REVERSE,3.133,0.6402,1216,151,1.6173,1.152,0.4101,100.0,91.6,0.5697,0.6762
