Entry,Side,Exit,PF,R2,Stag_Active,Trades,OER,UI,Health,Monkey,Monkey_OOS,XS_IS,XS_OOS
roc_55_sft <= -2.788638|cmo_89_sft <= 1.289561,LONG,SINTETICA_REVERSE,2.977,0.6109,1216,159,1.1347,1.1127,0.2717,100.0,90.2,0.5529,0.6415
roc_55_sft <= -2.788638|rsi_89_sft <= 50.644779,LONG,SINTETICA_REVERSE,2.977,0.6109,1216,159,1.1347,1.1127,0.2717,100.0,90.2,0.5529,0.6415
roc_55_sft <= -2.788638|rsi_120_sft <= 50.752754,LONG,SINTETICA_REVERSE,2.956,0.5926,1216,153,1.1964,1.0611,0.264,100.0,91.5,0.5523,0.6432
cmo_200_sft <= 3.76|roc_55_sft <= -2.788638,LONG,SINTETICA_REVERSE,3.015,0.5718,1216,150,1.207,1.0743,0.2599,100.0,91.3,0.5557,0.6828
